N_prog;Num_archivio;data_rilascio_prima_autorizzazione;Nome_Impresa_agricola;Azienda_zootecnica;CAP;sede_impresa_agricola;indirizzo_impresa_agricola;CCIAA;pref;tel;società;malga;PEC;indirizzo_e_mail;Altitudine;Latitudine;Longitudine;Comune_Sede_Agriturismo;Indirizzo_agriturismo;Denominazione_Agriturismo;N_appartamenti;N_stanze_in_appartamento;Tot_posti_letto_in_appartamento;N_bagni_appartamento;N_Stanze;Tot_posti_letto_in_stanze;N_bagni_in_stanze;N_tot_stanze_e_stanze_in_appartamento;Tot_posti_letto;Alloggio_in_appartamenti;Alloggio_in_stanze;Prima_colazione;Ristorazione_solo_per_alloggiati;Servizio_Ristorante_per_passanti;N_posti_tavola_interni_a_struttura;N_posti_tavola_esterni_alla_struttura;N_tot_posti_tavola;N_tot_Bagni;Agricampeggio;N_piazzole;N_tot_posti_in_campeggio;Fattoria_didattica;Altre_attività_ricreative;Degustazione;Classificazione_punteggio_tabella_1;Classificazione_punteggio_tabella_2;Classificazione_punteggio_tabella_3;ASSEGNAZIONE_MARGHERITE
148;451;23/12/2005;CHILOVI VITTORIO;no;38010;Ton;fraz. Toss loc. Nosino 1;144487;0461;657832;no;no;VITTORIO.CHILOVI@CERT.AZRETE.NET;;0;;;Ton;Toss - loc. Nosino 1;AGRITUR AL CASTELLO;0;0;0;0;4;7;4;4;7;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;26;26;10;3
149;452;08/06/2005;MASTRANGELO SIBILLA;si;38076;Lasino;Lagolo via Prà Boran 6;153868;0339;3362509;no;no;sibilla.mastrangelo@pec.agritel.it;;0;;;Lasino; loc. Lagolo Via Prà Boran, n. 6;MASTRANGELO SIBILLA;0;0;0;0;6;22;0;6;22;no;si;si;no;no;0;0;0;0;no;0;0;si;;si;29;32;16;4
150;453;23/01/2006;PEDROTTI LORENZO;si;38123;Trento;Povo - via Borino 73/A;173836;0461;811688;no ;no;lorenzo.pedrotti@pec.agritel.it;;0;;;Trento;Povo - via Borino n. 73/A;PEDROTTI LORENZO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;5;11;4;2
151;455;06/02/2006;BENEDETTI FEDELE;no;38060;Ronzo-Chienis;Via Dosso di Barco n. 5;147707;0464;802743;no;no;fedele.benedetti@pec.agritel.it;;0;;;Ronzo Chienis;Via Dosso di Barco n. 5;PIAZERA;3;6;10;3;0;0;0;6;10;si;no;si;no;no;0;0;0;0;no;0;0;no;;no;25;14;2;2
152;456;21/12/2004;GIACOMONI CINZIA;no;38015;Lavis;Loc. Masi di Pressano 21;172146;0461;871567;no;no;CINZIA.GIACOMONI@PEC.AGRITEL.IT;;280;;;Lavis;Loc. Masi di Pressano 21;AGRITUR MASO GRENER;0;0;0;0;7;16;7;7;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;35;26;16;4
153;458;05/05/2006;MARTINELLI GIULIANO;no;38060;Ronzo Chienis;Via Monte Baldo, n. 1;175452;0464;802784;no;no;GIULIANOMARTINELLI@PEC.IT;;974;;;Ronzo Chienis;loc. Passo Bordala;MAS MURIEI;2;4;6;2;0;0;0;4;6;si;no;si;no;no;0;0;0;0;no;0;0;si;;no;13;9;10;2
154;459;18/05/2006;PINTARELLI PRIMO;no;38057;Pergine Valsugana;Via delle Bizere, 18;171930;0461;532784;no;no;no pec;;1000;;;Baselga di Pinè;Via per Pergine, n. 22;CA DEI GIANI;2;4;12;2;3;6;2;7;18;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;24;19;4;2
155;460;28/04/2006;PATERNOSTER ANDREA;no;38010;Vigo di Ton;Via Castel Thun 6;155459;0461;657929;no;no;MIELITHUN@PEC.IT;;452;;;Ton;Via Castel Thun, n. 8;PATERNOSTER ANDREA;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;;;;
156;461;30/05/2006;BROCHETTI RODOLFO;no;38071;Bleggio Superiore;fr. Cavrasto, n. 131;147918;0465;779438;no;no;MASOPRACAVAI@PEC.IT;;750;;;Bleggio Superiore;fraz. Madice, loc. Maton 1e 2;AGRITUR MASO PRA' CAVAI;0;0;0;0;6;17;6;6;17;no;si;si;si;no;0;0;0;0;no;0;0;no;;si;32;31;18;4
157;462;20/06/2006;GROSSELLI VITALE;si;38076;Lasino;Via Cornetto, n. 13;152066;0461;564360;no;no;vitale.grosselli@pec.agritel.it;;468;;;Lasino;Loc. Maso Mongidori;MASO MONGIDORI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;0;25;2;no;0;0;si;;si;17;25;10;3
158;463;23/06/2006;IVANYKOVYCH  HALYNA;no;38054;Transacqua;Via Sanguarna n.8/b;190446;0339;6378243;no;no;no pec;;746;;;Transacqua;Via Sanguarna n.  8/a e Via della Cava n. 12;AGRITUR ALLE QUATTRO STAGIONI;4;6;10;4;0;0;0;6;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;22;25;13;3
159;465;28/06/2006;WIDMANN RENZO;no;38010;Coredo;via 4 Novembre n. 59;127374;0463;536927;no;no;renzo.widmann@pec.agritel.it;;831;;;Coredo;Via 4 Novembre, n. 59;AGRITUR WIDMANN RENZO;3;5;7;3;7;14;7;12;21;si;si;si;no;no;0;0;0;0;no;0;0;si;;no;15;11;9;2
160;469;11/08/2006;RAMPANELLI GIUSEPPE;no;38010;Spormaggiore;Via S. Vigilio, n. 22;160195;0461;653630;no;no;RAMPANELLIGIUSEPPE@PEC.COLDIRETTI.IT;;229;;;Spormaggiore;Via S. Vigilio, n. 22;RAMPANELLI GIUSEPPE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;0;25;1;no;0;0;si;;si;15;21;8;2
161;470;31/01/2006;BRIDA DANILO;no;38010;Vervo';Fraz. Priò, via Lin n. 10;147927;0463;479010;no;no;vivaibridadanilo@cia.legalmail.it;vivaibridadanilo@hotmail.com;898;;;Vervo';Fraz. Priò, via Lin n. 10;AGRITUR BRIDA;2;2;10;2;0;0;0;2;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;;;;
162;473;04/08/2006;SCALET MASSIMO;si;38054;Transacqua;Via Forno, n. 7;161226;0439;62875;no;no;AGRITURDALAIP@PEC.IT;;750;;;Tonadico;Loc. Dalaibi;DALAIP DEI PAPE;0;0;0;0;5;11;5;5;11;no;si;si;no;si;30;0;30;2;no;0;0;si;;si;33;26;10;3
163;474;02/02/2006;ZANELLA MICHELE;no;38027;Malè;Loc. Mangiasa, n. 4;175844;0463;902123;no;no;MICHELEZANELLA@PEC.IT;;738;;;Malè;Loc. Mangiasa, n. 2;AGRITUR MANGIASA;1;1;3;1;0;0;0;1;3;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;25;31;15;4
164;476;01/06/2005;FEZZI DIEGO;si;38020;Pellizzano;Loc. Claiano, 3;151612;0463;751885;no;no;diego.fezzi@pec.agritel.it;;925;;;Pellizzano;loc. Claiano, 1;AGRICAMPEGGIO CLAIANO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;si;7;28;no;;no;;;;
165;477;16/06/2006;ORSEGA BRUNO;no;38050;Mezzano;Via di Sopra, 44;176418;0349;5326237;no;si;bruno.orsega@pec.agritel.it;;640;;;Mezzano;loc. Gune;MALGA LOZEN;0;0;0;0;0;0;0;0;0;no;no;no;no;si;38;22;60;1;no;0;0;si;;no;25;29;10;3
166;478;16/08/2006;CIURLETTI ARMANDO;no;38122;Trento;Via Fersina, 30;159126;0348;6563634;no;no;armando.ciurletti@pec.agritel.it;;200;;;Trento;Via Fersina, 30;LE ANTICHE GIARE;0;0;0;0;3;7;3;3;7;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;26;17;4;2
167;479;18/09/2006;MONTRESOR ANNA;no;38100;Cognola - Trento;Via Bassano, 3;171868;0340;4669018;no;no;no pec;;0;;;Cognola - Trento;Via Bassano, 3;MASO WALLENBURG;0;0;0;0;9;17;9;9;17;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;37;22;15;2
168;480;09/10/2006;MENEGATTI RICCARDO;no;38062;Arco;Via Cerere, 48;58146;0464;531120;no;no;MASOLE4STAGIONI@PEC.COLDIRETTI.IT;;0;;;Arco;Loc. Gerone;MASO LE 4 STAGIONI;0;0;0;0;7;15;7;7;15;no;si;si;no;si;25;0;25;3;no;0;0;si;;si;38;37;20;5
169;481;09/10/2006;PEDERZOLLI MARIANO;no;38072;Calavino;loc. Sarche via Degasperi, n. 9;154481;0461;564608;no;no;ELPARADIS@PEC.COLDIRETTI.IT;;0;;;Arco;Loc. Patom;PEDERZOLLI;3;4;8;3;2;5;1;6;13;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;9;0;8;1
170;482;10/10/2006;SEMBIANTI ELENA;no;38010;Vervò;Piazza Centrale 19;173531;0463;463175;no;no;elena.sembianti@pec.agritel.it;balconesulbrenta@gmail.com;0;;;Vervo';Piazza Centrale, n. 19;AGRITUR BALCONE SUL BRENTA;3;5;10;3;0;0;0;5;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;;;;
171;483;11/09/2006;SARTORI MARCO;no;38027;Croviana;Via de le Closure;156616;0463;902593;no;no;marco.sartori@pec.agritel.it;;0;;;Croviana;Via de le Closure, n. 4;AGRITUR SARTORI;4;10;21;6;0;0;0;10;21;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;16;7;6;2
172;487;16/01/2007;OSTI MARCO;no;38010;Spormaggiore;Località Meano 16;156761;0328;3626483;no;no;marco.osti62@cia.legalmail.it;sorgebio@hotmail.it;0;;;Spormaggiore;Località Meano 16;AGRITUR AL BAIT;0;0;0;0;3;7;3;3;7;no;si;si;no;no;0;0;0;0;no;0;0;si;;no;33;50;13;3
173;488;08/08/2006;PEZZI FLAVIO;no;38010;Campodenno;Vic. della Rotonda 3;155524;0461;655818;no;no;no pec;;534;;;Campodenno;Fraz. Dercolo - Vicolo della Rotonda, n. 3;AGRIHOUSE;0;0;0;0;3;7;3;3;7;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;29;26;13;3
174;490;10/01/2007;MOSER FRANCESCO;no;38121;Trento;Loc. Castel di Gardolo;153780;0461;990786;no;no;FRANCESCOMOSER@PEC-IT.IT;;0;;;Trento;Loc. Meano Via Castel Gardolo 5;MASO VILLA WARTH;6;6;22;6;0;0;0;6;22;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;31;32;17;4
175;491;04/01/2007;JORIS MARIO;no;38010;Nanno;Fraz. Portolo via di S. Tomaso 15;152378;0463;450366;no;no;mario.joris@pec.agritel.it;info@agrituralparadis.it;0;;;Nanno;Fraz. Portolo via al Paradis, 1;AL PARADIS;5;8;21;5;0;0;0;8;21;si;no;si;no;si;33;0;33;1;no;0;0;no;;no;35;30;15;4
176;492;28/09/2006;BOTTAMEDI MATTEO;si;38010;Andalo;Via Pegorar, n. 15;176832;0335;6876792;no;no;no pec;;0;;;Andalo;Via Pegorar, n. 15;BOTTAMEDI MATTEO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;ippoturismo;no;;;;
177;493;13/02/2007;PASSERINI  PAOLO;no;38060;Brentonico;Viale S. Rocco, n. 18;155393;0464;394102;no;no;paolo.passerini1951@pec.agritel.it;;0;;;Brentonico;Via Alla Costa , n. 14;PASSERINI PAOLO;1;3;5;1;0;0;0;3;5;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;15;9;1;2
178;494;21/02/2007;DEBERTOL REMO;si;38032;Canazei;Fraz. Gries via Costa n. 14;88104;0462;602520;no;no;DEBERTOLREMO@LEGALMAIL.IT;;0;;;Canazei;Fraz. Gries Loc. Costa, n. 14;CESA CIASATES;6;11;22;6;3;8;3;14;30;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;36;20;10;3
179;495;14/11/2006;ZUCAL IVO;no;38010;Romeno;Via Endrici, n. 48;168112;0463;876022;no;no;ivo.zucal@pec.agritel.it;;0;;;Romeno;Via Endrici, n. 48;ZUCAL IVO;1;1;4;1;1;2;1;2;6;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;23;19;10;3
180;496;20/03/2007;PEDRON BRUNO;no;38010;Cavedago;Loc. Lent, n. 1;154406;0461;654224;no;no;no pec;;0;;;Cavedago;Loc. Lent, n. 1;MASO CORNIOLO;0;0;0;0;3;7;3;3;7;no;si;si;no;no;0;0;0;0;no;0;0;si;;si;34;30;22;4
181;498;29/05/2007;PALU' GIOVANNA;no;38050;Torcegno;Via della Fontana, n. 17;183002;0461;760804;no;no;MASOPALU@PEC.IT;;0;;;Torcegno;Via Fontana, n. 16;MASO PALU';3;5;15;3;0;0;0;5;15;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;33;15;16;2
182;500;25/05/2007;CIMADON LARA;no;38050;Ronchi Valsugana;Loc. Ponte, n. 2;163710;0347;8104572;no;no;lara.cimadon@pec.agritel.it;;0;;;Ronchi Valsugana;Loc. Ponte n. 2;AGRITUR FIORI D'ACACIA;1;2;4;2;2;3;1;4;7;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;30;27;10;3
183;501;25/06/2007;SCHELFI ORAZIO;no;38060;Brentonico;Loc. Festa;156192;0320;1568674;no;si;orazio.schelfi@pec.agritel.it;;0;;;Avio;Loc. Dossioli;MALGA PRA' ALPESINA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;12;48;60;1;no;0;0;no;;si;7;21;0;2
184;502;13/07/2007;BONELLI MARINA;no;38030;Castello Molina di Fiemme;Via Stazione, n. 9;147770;0462;231532;no;no;marina.bonelli@pec.agritel.it;;0;;;Castello Molina di Fiemme;Via Stazione, n. 9;MASO PERTICA;0;0;0;0;7;14;7;7;14;no;si;si;no;si;35;0;35;2;no;0;0;no;;si;41;35;16;4
185;503;24/07/2007;BRUNORI LUIGI;no;38060;Brentonico;fraz. Cazzano via A. Degasperi 5;148181;0464;394188;no;no;luigi.brunori@pec.agritel.it;;0;;;Brentonico;fr. Cazzano, via A. Degasperi 5;AGRITUR BRUNORI;3;3;11;3;2;2;1;5;13;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;;;;
186;504;09/07/2007;PRADEL ANTONIO;no;38050;Imer;Via Nazionale, n. 30;90263;0439;67786;no;no;no pec;;0;;;Imer;Via Guselini, n. 3/A;AGRITUR PRADEL ANTONIO;2;4;9;2;3;8;3;7;17;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;16;20;6;2
187;507;01/08/2007;PANCHERI MARIO;no;38020;Livo;fraz. Preghena n. 103/A;146669;0463;533314;no;no;PANCHERIMARIO@PEC.CONFAGRICOLTURATN.IT;info@agriturmontepin.it;0;;;Livo;fr. Preghena, n. 49;AGRITUR MONTE PIN;1;1;2;1;6;14;6;7;16;si;si;si;no;no;0;0;0;0;no;0;0;si;;si;31;25;15;4
188;508;21/08/2007;ZADRA GIANLUIGI;no;38062; Arco;Via A. Moro, n. 119;162144;0329;7931886;no;no;no pec;;0;;;Arco;Via S. Giorgio 3;AGRITUR GIRASOLE;0;0;0;0;13;25;12;13;25;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;33;19;19;2
189;509;12/09/2007;SANSONI LINO;no;38077;Comano Terme;Frazione Poia 90;188782;0465;702098;no;no;lino.sansoni@pec.agritel.it;;0;;;Comano Terme;Frazione Poia 90;MASO MAROCC;0;0;0;0;11;23;11;11;23;no;si;si;no;si;35;0;35;3;no;0;0;no;;no;46;33;16;4
190;511;19/10/2005;BORTOLAS LUISA;si;38038;Tesero;Via Cerin, n. 10;148382;0462;814731;no;no;luisa.bortolas@pec.agritel.it;;0;;;Tesero;Via Cerin, n. 10;BORTOLAS LUISA;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;;;;
191;512;27/09/2007;TESSARO MAURIZIO;no;38050;Pieve Tesino;Via M.e B.Brunello n.19;145106;0461;594825;no;no;no pec;;0;;;Pieve Tesino;Loc. Astra;DON BOSCO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;si;8;20;10;2
192;515;10/10/2007;CESCHI GIANPAOLO;no;38042;Baselga di Pinè;Fr. Miola - Via di Bugno n.39;149789;0461;557887;no;no;gianpaolo.ceschi@pec.agritel.it;;0;;;Baselga di Pinè;fr. Miola, loc. Fovo Alto;SOGNO IN BAITA;1;1;4;1;4;8;2;5;12;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;24;15;1;2
193;516;10/10/2007;TONELLI SIMONETTA;no;38062;Arco;Loc. Fibie, n. 6;178526;0464;518543;no;no;simonetta.tonelli@pec.agritel.it;;0;;;Arco;Loc. Fibbie, n. 6;MASO FONTANE;5;11;26;6;0;0;0;11;26;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;24;10;9;2
194;518;13/11/2007;MICHELOTTI PASQUINO;no;38062;Arco;Loc. Gazzi, n. 9;152870;0464;517744;no;no;pasquino.michelotti@pec.agritel.it;;0;;;Arco;Loc. Fibbie, n. 1/B;AGRITUR TREFRUTTI;3;3;12;3;0;0;0;3;12;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;20;6;13;2
195;519;30/03/2005;PETRI ANDERLE ROSINA;si;38050;Palù d/Fersina;Loc. Tolleri 73/A;155479;0461;550090;no;no;no pec;;0;;;Palu' d/Fersina;Loc. Tolleri n. 73/A;AGRITUR PETRI ANDERLE ROSINA;1;5;5;1;0;0;0;5;5;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;;;;
196;520;28/11/2007;LANER ROSANNA;no;38050;Frassilongo;Loc. Maso Grillo 8;152618;0461;533291;no;no;rosanna.laner@pec.agritel.it;;0;;;Frassilongo;Loc. Maso Molinari;MASO MOLINARI GOSSERHOF;2;4;8;3;0;0;0;4;8;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;21;21;8;2
197;521;19/10/2007;TONIOLLI RODOLFO;no;38034;Cembra;Via Acquedotto n. 45;159958;0461;683814;no;no;RODOLFOTONIOLLI@PEC.CONFAGRICOLTURATN.IT;;0;;;Cembra;Loc. Cavade n. 1;AGRITUR CAVADE;0;0;0;0;8;15;7;8;15;no;si;si;no;si;35;15;50;1;no;0;0;no;;si;36;27;15;4
198;522;29/08/2007;CRISTOFORETTI GIAMBATTISTA;no;38063;Avio;Fraz. Sabbionara, via Castelbarco n. 32;149700;0464;685056;no;no;giambattista.cristoforetti@cia.legalmail.it;;0;;;Avio;Fraz. Sabbionara Via Castelbarco, n. 32;CRISTOFORETTI GIAMBATTISTA;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;no;;si;;;;
199;523;04/12/2007;DALLASERRA CARLO;no;38010; Taio;Via Ai Doi Sassi n. 8;150254;0328;627559;no;no;carlo.dallaserra@pec.agritel.it;;0;;;Taio;Fraz. Torra                                        Via Sant' Eusebio n. 4;AGRITUR LA PIEVE;4;6;16;4;0;0;0;6;16;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;25;18;11;3
200;524;04/12/2007;DALLASERRA ALESSANDRO;no;38010; Taio;Via Ai Doi Sassi n. 8;181557;0463;468495;no;no;alessandro.dallaserra@pec.agritel.it;;0;;;Taio;Fraz. Torra                                        Via Sant' Eusebio n. 4;AGRITUR DALLASERRA;3;6;15;3;2;4;2;8;19;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;31;20;11;3
201;526;31/12/2007;BONA ERMAN;no;38065;Mori;Via  A. Toss n. 12;175835;0329;9060135;no;no;ERMAN.BONA@PEC.CONFAGRICOLTURATN.IT;agriturismo.bafin@gmail.com;0;;;Mori;Fraz. Besagno Via  A. Toss n. 12;BAFIN;0;0;0;0;3;6;3;3;6;no;si;si;no;no;0;0;0;0;no;0;0;si;;no;29;17;6;2
202;527;07/12/2007;BERTOLINI PIERGIORGIO;no;38065;Mori;Manzano - Piazza Italia n. 21;148437;0464;919183;no;no;piergiorgio.bertolini@pec.agritel.it;;0;;;Mori;Loc. Corniano;AGRITUR BERTOLINI;3;5;9;3;0;0;0;5;9;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;16;17;3;2
203;528;10/12/2007;CANTONATI LUIGI;no;38080;Villa Rendena;Via Roma, n. 155;178654;0465;321345;no;no;CANTONATILUIGI@PEC.IT;;0;;;Villa  Rendena;Loc. Sacconi n. 220;AGRITUR IL FAVO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;60;0;60;1;no;0;0;si;;si;;;;4
204;529;05/03/2008;BAILONI STEFANO;no;38060;Tenno;Fraz. Torbole Via Al Cor n. 14;180347;0464;506142;no;no;no pec;;0;;;Tenno;Via dei Laghi n. 53;AGRITUR TENNO BIO NATURA;1;4;8;2;3;6;0;7;14;si;si;si;no;no;0;0;0;0;no;0;0;si;;si;33;26;17;4
205;530;04/02/2008;PLANCHENSTAINER GIORGIO;no;38066;Riva d/Garda;Loc. S. Alessandro - via Miorelli 60/A;98079;0464;521847;no;no;PLANCHENSTAINER@PEC.IT;;0;;;Riva d/Garda;Via Miorelli 60/A;AGRITUR PLANCHENSTAINER;2;2;6;2;0;0;0;2;6;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;14;14;3;2
206;532;21/03/2008;GIRARDELLI TIZIANO;no;38066;Riva d/Garda;Via Marone n. 13;114385;0461;521642;no;no;INFO@PEC.AGRITURGIRARDELLI.COM;;0;;;Riva d/Garda;Via Marone n. 13;AGRITUR GIRARDELLI;0;0;0;0;10;18;10;10;18;no;si;si;si;no;0;0;0;0;no;0;0;no;;no;25;26;10;3
207;533;17/03/2008;TORBOL ORLANDO;no;38062;Arco;Via S. Sighele 36;157117;0464;519549;no;no;orlando.torbol@pec.agritel.it;;0;;;Arco;Loc. Braila;AGRITUR VECCHIO BORGO;3;6;16;3;0;0;0;6;16;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;16;20;5;2
208;534;26/02/2008;PEDROTTI SANDRA WANDA;no;38013;Fondo;Fraz. Vasio n.10;163367;0463;832650;no;no;AGRITURFIORE@PEC.IT;;0;;;Fondo;Fraz. Vasio n. 1;AGRITUR FIORE;1;2;5;1;10;18;10;11;23;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;28;26;14;3
209;535;04/02/2008;PEDERZOLLI CLAUDIO;no;38062;Arco;Via S. Marcello n. 9;122319;0335;6345428;no;no;pederzolli.michela@pec.it ;;0;;;Arco;Loc. Cogozzi - Via E. Gobbi;VIVERE;4;4;16;4;2;6;2;6;22;si;si;si;no;no;0;0;0;0;no;0;0;no;;si;27;18;14;2
210;536;05/03/2008;BEATRICI GIANCARLO;no;38070;Vezzano;Ranzo - Via Del Dossel 10;168198;0461;844206;no;no;no pec;;0;;;Vezzano;Fraz. Ranzo - Via Del Dossel 5;AGRITUR BEATRICI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;0;25;1;no;0;0;no;;si;18;18;3;2
211;539;11/12/2007;POLI EMANUELA;no;38059;Strigno;Loc. Castrozze Lupi n. 131;179656;0334;9537721;no;no;EMANUELA.POLI@PEC.IT;;0;;;Strigno;Loc. Castrozze Lupi n. 131;MASO DELLA SORGENTE;0;0;0;0;2;4;2;2;4;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;32;26;15;4
212;540;10/04/2008;GELMINI LUCA;no;38065;Mori;Loc. Valle S. Felice - Via E. Finotti 20;175610;0464;803019;no;no;luca.gelmini1971@pec.agritel.it;;0;;;Mori;Fr. Valle S. Felice - Via E. Finotti n. 20;AZIENDA AGRICOLA GELMINI LUCA;1;2;4;1;0;0;0;2;4;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;14;15;4;2
213;541;13/05/2008;FURLANI MATTEO;no;38123;Trento;Loc. Povo - Via Gabbiolo 2;179205;0461;811384;no;no;FURLANIMATTEO@PEC.IT;;0;;;Trento ;Loc. Povo - Via Alla Cascata 27;AGRITUR PONTE ALTO;0;0;0;0;13;23;11;13;23;no;si;si;no;si;25;0;25;1;no;0;0;no;;si;35;30;20;5
214;543;29/05/2008;S.S. Agricola di Sandri Oscar e Figli;no;38050;Villa Agnedo;Via Delle Sieghe n. 2;187707;0340;4656476;si;si;SANDRIOSCAREFIGLI@PEC.IT;;0;;;Cinte Tesino;Loc. Malga Arpaco;MALGA ARPACO;0;0;0;0;4;12;3;4;12;no;si;si;no;si;60;0;60;2;no;0;0;si;;si;20;27;3;3
215;544;09/07/2008;BONELLI  LUIGI;no;38030;Castello Molina di Fiemme;Via Trento n. 18;196921;0462;342267;no;si;luigi.bonelli@pec.agritel.it;;965;;;Castello Molina di Fiemme;Loc.  Arodolo;MALGA ARODOLO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;35;15;50;2;no;0;0;no;;si;12;20;6;2
216;545;08/07/2008;SIGHEL SARA;no;38042;Baselga di Pinè;Loc. Miola, via dei Fovi 17;169109;0349;5703243;no;no;sara.sighel@cia.legalmail.it;lastropaia@email.it;0;;;Baselga di Pinè;Via Della Prestala n. 20;LA STROPAIA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;45;15;60;2;no;0;0;no;;si;18;31;11;3
217;546;22/07/2008;CALIARI LUCA;no;38077;Comano Terme;Fraz. Santa Croce n. 12;149223;0335;6748738;no;no;luca.caliari@pec.agritel.it;agri.caliari@gmail.com;0;;;Bleggio Superiore;Via S. Croce n. 10/A e 10/B;LA COCCINELLA;2;3;10;3;0;0;0;3;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;19;18;10;2
218;548;28/07/2008;SOCIETA' AGRICOLA MASO DELLO SPECK;no;38030;Daiano;Loc. Pozze di Sopra, n. 2;198281;0340;1524315;si;no;TITOSPECK@PEC-MAIL.IT;;0;;;Daiano;Loc. Pozze di Sopra, n. 2;SOCIETA' AGRICOLA MASO DELLO SPECK ;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;0;25;1;no;0;0;no;;si;25;32;13;3
219;549;01/08/2008;CALLIARI RENZO;no;38010;Romeno;Via S. Bartolomeo, n. 23;167880;0463;875601;no;no;renzo.calliari@pec.agritel.it;info@agriturmasosanbartolomeo.it;0;;;Romeno;Via Di S. Bartolomeo n. 108;AGRITUR MASO SAN BARTOLOMEO;0;0;0;0;11;28;11;11;28;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;36;32;21;5
220;550;24/07/2008;PATERNO GENNY;no;36052;Enego;Via Godenella n. 9;311058;0338;7932468;no;si;frisonrenato@pec.agritel.it;;0;;;Grigno;Loc. Altipiano di Marcesina;MALGA SCURA;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;no;;si;10;15;0;2
221;553;28/07/2008;OBRELLI MARIO;no;38015;Lavis;Masi di Pressano, 21;175928;0335;295798;no;no;MARIO.OBRELLI@INGPEC.EU;;0;;;Lavis;Loc. Masi di Pressano n. 22/D;AGRITUR MASO TRATTA;6;6;24;6;0;0;0;6;24;si;no;no;no;si;37;0;37;2;no;0;0;no;;no;38;30;20;5
222;555;06/10/2008;PENNER MARCO;no;38046;Lavarone;Loc. Stengheli n. 100;170880;0464;783361;no;no;no pec;;0;;;Lavarone;Loc. Mos;AZIENDA AGRICOLA PENNER MARCO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;2;23;4;2
223;556;29/05/2008;Zambotti Cristiano - S.S. Az. Agr. Peterlana e Zambotti;no;38075;Fiave';Loc. Stumiaga, n. 40;147363;0465;736016;si;no;SOCAGRPETERLANAZAMBOTTI@PEC.IT;;0;;;Fiavè;Fraz. Stumiaga n. 40;CA' DE MEL;0;0;0;0;5;11;5;5;11;no;si;si;no;no;0;0;0;0;no;0;0;si;;si;25;29;11;3
